product_name,brands,pnns_groups_1,pnns_groups_2,energy-kcal_100g,sugars_100g,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,proteins_100g,nutriscore_grade,nova_group,environmental_score_grade,unique_scans_n
Grissins Artisans aux Graines de Lin,La Buona Terra,Cereals and potatoes,Bread,431.0,2.0,12.0,1.8,1.7,9.7,13.0,c,3,a-plus,7
Mini gressins tomate,La Buona Terra,Cereals and potatoes,Bread,421.0,2.8,8.6,1.4,1.9,3.8,12.0,d,3,a-plus,1
Mini gressins,La Buona Terra,Cereals and potatoes,Bread,424.0,1.7,8.6,1.4,1.8,3.5,12.0,d,3,a-plus,1
Gressins,La Buona Terra,Cereals and potatoes,Bread,445.0,1.3,19.0,2.7,1.3,6.9,12.0,c,3,a-plus,1
Mini gressins artisans au curcuma et poivre noir,la buona terra,Cereals and potatoes,Bread,423.0,6.8,8.3,1.5,1.8,4.0,11.0,d,3,a-plus,1
Mutti Semi,Qualità Gourmet,Cereals and potatoes,Bread,476.0,2.1,19.0,2.1,1.6,6.6,13.0,c,3,a,1
Qualitalia Olive,Qualitalia,unknown,unknown,422.0,2.5,9.7,1.5,1.975,3.4,11.0,unknown,4,unknown,2
Gressins artisanaux,Qualitalia,Cereals and potatoes,Bread,424.0,3.2,7.8,1.4,1.8,3.8,12.0,d,3,a,2
Gressins Integrale,Qualitalia,Cereals and potatoes,Bread,415.0,2.3,7.8,1.2,1.6,6.2,12.0,c,3,b,1
Polenta,La Grande Ruota,Cereals and potatoes,Cereals,353.0,0.5,1.4,0.2,0.0,8.8,7.3,a,1,b,1
I tramezzini - Tonno pomodoro olive,"Beretta, Piatti freschi Italia, Viva la Mamma",Composite foods,Sandwiches,303.0,2.4,18.0,2.1,0.68,3.3,8.5,c,4,c,1
Bouillon De Légume,"Knorr, Unilever",unknown,unknown,7.0,0.5,0.5,0.3,0.8,0.5,0.5,unknown,4,b,4
Il dado classico,Knorr,unknown,unknown,5.0,0.5,0.5,0.3,1.1,0.5,0.5,unknown,4,unknown,1
Dado Delicato n.20 Knorr,Knorr,unknown,unknown,5.0,0.0,0.4,0.3,1.1,0.0,0.2,unknown,4,unknown,1
