product_name,brands,pnns_groups_1,pnns_groups_2,energy-kcal_100g,sugars_100g,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,proteins_100g,nutriscore_grade,nova_group,environmental_score_grade,unique_scans_n
Madeleines ChocoLait,Apple bandit,Sugary snacks,Biscuits and cakes,460.0,31.0,24.0,6.0,0.48,1.4,6.4,e,4,d,1.0
Collagen For Her,Bodylab,unknown,unknown,123.0,0.0,1.76,0.882,0.0882,1.76,1.76,unknown,4,unknown,6.0
Lindt Vollmilch Schokolade,Lindt,unknown,unknown,6.0,0.2,0.3,0.2,0.8,0.1,0.3,unknown,4,unknown,2.0
Multi Patents Collagen Peptides,VEV,Sugary snacks,Biscuits and cakes,350.0,9.09,0.0,0.0,0.0,0.0,90.9,a,3,b,1.0
Fondants Citron,Lindt,Sugary snacks,Sweets,249.0,59.0,0.3,0.05,0.05,2.0,0.5,d,4,b,12.0
Organic Erythritol Granulated,Weight Watchers,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,4,unknown,6.0
30 Panach' Fruits,"Bijou, Nordischer Roter Glühwein",Beverages,Sweetened beverages,412.0,31.0,18.0,2.0,0.63,1.0,5.0,e,4,unknown,1.0
Peanut Brittle,Berrymans,Sugary snacks,Sweets,443.0,51.5,3.9,2.5,0.0,1.9,7.7,e,4,unknown,1.0
Batido nutricional / Nutricional Shake,Herbalife,unknown,unknown,354.0,9.4,9.0,2.0,1.9,20.0,39.0,not-applicable,4,unknown,1.0
madeleine Bijou ChocoPépites,Bijou,Sugary snacks,Biscuits and cakes,473.0,32.0,25.0,5.0,0.63,2.5,5.8,e,4,a,3.0
bijou cacao,bijou,unknown,unknown,469.0,32.0,25.0,4.0,0.7,2.2,5.8,unknown,4,unknown,1.0
Barrette cioccolato e arachidi 1 barretta 35g.,Herbalife,unknown,unknown,398.0,31.0,12.0,5.2,0.11,1.0,28.0,not-applicable,4,unknown,2.0
Coffret Vendôme T2,live conscious,unknown,unknown,526.0,29.58,38.1,13.41,11.0,4.49,7.55,unknown,4,unknown,1.0
biscuits cuillers,bijou,Sugary snacks,Biscuits and cakes,350.0,48.0,3.5,1.0,0.41,1.2,7.0,e,4,c,1.0
boisson à l'aloe vera,Herbalife,Beverages,Artificially sweetened beverages,12.0,0.0,0.0,0.0,0.1,0.0,0.0,not-applicable,4,c,20.0
soupe à la chinoise  légumes et vermicelles,liebig,Cereals and potatoes,Cereals,20.0,0.5,0.4,0.1,0.86,0.7,0.6,unknown,4,c,1.0
Potiron et vermicelles,Liebig,Fruits and vegetables,Soups,26.0,1.7,0.4,0.2,0.7,0.8,0.7,c,4,a,1.0
Gaspacho à l'andalouse,Liebig,Composite foods,One-dish meals,26.0,1.9,1.3,0.2,0.68,0.9,0.7,b,4,unknown,1.0
Velouté de légumes du soleil,Liebig,Fruits and vegetables,Soups,35.0,1.4,1.7,0.3,0.67,0.8,0.9,c,3,a-plus,1.0
Potiron et j’irai,Morbihan,Fruits and vegetables,Soups,35.0,1.4,1.4,0.9,0.65,1.0,0.9,b,4,a,1.0
velouté de tomates et pointe d'origan,Liebig,Fruits and vegetables,Soups,28.0,2.4,0.5,0.3,0.67,1.0,0.7,b,4,a-plus,2.0
Velouté de 10 Légumes,Liebig,Fruits and vegetables,Soups,41.0,1.1,1.9,0.5,0.69,1.0,0.8,c,4,a-plus,6.0
Velouté de tomates,Liebig,Fruits and vegetables,Soups,36.0,3.3,0.6,0.3,0.69,0.6,1.1,b,4,a,2.0
Velouté de 12 légumes,Liebig,Fruits and vegetables,Soups,42.0,1.4,1.9,0.6,0.51,0.7,0.7,b,4,a-plus,2.0
gaspacho à l'andalouse,liebig,Composite foods,One-dish meals,27.0,2.2,1.3,0.2,0.67,0.8,0.7,b,4,unknown,1.0
Velouté de 10 légumes,Liebig,Fruits and vegetables,Soups,43.0,1.3,1.6,0.6,0.67,0.8,0.7,c,4,a-plus,1.0
Mouliné de Légumes Verts,Liebig,Fruits and vegetables,Soups,31.0,1.5,0.5,0.3,0.68,1.1,1.0,c,4,a,1.0
Soupe Toscane,La Potagère,unknown,unknown,336.0,20.1,2.7,0.5,7.0,7.1,10.3,unknown,4,unknown,2.0
velouté de potiron,liebig,Fruits and vegetables,Soups,30.0,1.6,1.0,0.6,0.67,1.0,0.6,b,4,a,1.0
velouté de cresson.,liebig,Composite foods,One-dish meals,29.0,0.3,0.7,0.4,0.67,0.7,0.8,c,4,unknown,3.0
Formula 1 healthy meal,Herbalife,Beverages,Artificially sweetened beverages,380.0,13.0,11.0,1.8,1.3,20.0,40.0,not-applicable,4,d,1.0
26 38,CINQUE FORMAGGI,Composite foods,Pizza pies and quiches,256.0,0.07,13.0,4.1,1.2,1.1,12.0,d,4,c,1.0
Pastilles neutres bio,Aroma-zone,unknown,unknown,197.0,0.45,0.91,0.57,0.08,76.8,0.69,a,4,unknown,1.0
Food Grade Corn,"Bijou, Rural Route 1, lackmann",Sugary snacks,Biscuits and cakes,505.0,33.0,26.0,13.0,0.9,3.3,7.0,e,4,c,1.0
Sablés Coco Lait,Bijou,Sugary snacks,Biscuits and cakes,526.0,35.0,30.0,17.0,0.73,2.8,6.6,e,4,a,3.0
Raisin Walnut Apple Bar,Trader Joe's,unknown,unknown,282.0,8.45,3.52,0.0,0.387,7.04,14.1,unknown,4,unknown,2.0
Rebuild,Herbalife,unknown,unknown,380.0,34.0,3.0,1.6,1.2,1.5,51.0,not-applicable,4,unknown,3.0
Brins de framboise,Bijou,Sugary snacks,Biscuits and cakes,378.0,45.0,2.3,1.8,0.28,1.4,4.6,e,4,c,3.0
Tom’s of Maine Fresh Mint,"Herbalife, lackmann",unknown,unknown,348.0,15.0,3.5,0.9,0.83,15.0,48.0,c,4,unknown,1.0
Brins de ChocoCaramel,Bijou,Sugary snacks,Biscuits and cakes,461.0,49.0,16.0,9.6,0.0,1.5,5.4,e,4,c,5.0
petit dej Chococroustill,Bijou,Sugary snacks,Biscuits and cakes,135.0,7.0,5.9,2.4,0.508,1.1,2.2,c,4,unknown,1.0
Beurre de Cacahuètes Bio,Kazidomi,Sugary snacks,Sweets,626.0,4.0,49.1,6.8,0.3,8.5,25.7,a,3,b,2.0
Beurre de Cacahuètes Bio,Kazidomi,Sugary snacks,Sweets,626.0,4.0,49.1,6.8,0.3,8.5,25.7,a,3,b,1.0
Beurre de Cacahuètes Croquantes Bio,Kazidomi,Sugary snacks,Sweets,626.0,4.0,49.1,6.8,0.3,8.5,25.7,a,3,b,1.0
Purée de Noix de Cajou grillées Bio,Kazidomi,Salty snacks,Nuts,614.0,5.0,48.8,8.8,0.3,3.8,21.0,b,3,c,1.0
Purée de Sésame Tahini Bio,Kazidomi,Sugary snacks,Sweets,638.0,0.0,54.8,4.9,0.3,8.5,25.9,c,3,b,1.0
Purée de Noisettes Sans Sel Bio,Kazidomi,Fat and sauces,Fats,702.0,5.0,61.8,4.9,0.0,9.0,14.0,a,2,unknown,2.0
Purée de Pistaches Bio,Kazidomi,unknown,unknown,659.0,1.9,54.7,7.0,0.3,8.9,22.3,a,3,b,2.0
Complete,Juice Plus,Composite foods,One-dish meals,375.0,40.0,6.9,2.4,0.88,15.0,25.3,not-applicable,4,b,1.0
P'tits-B Crousti'Choco,Bijou,unknown,unknown,475.0,27.0,21.0,8.8,0.68,5.0,9.1,unknown,4,unknown,1.0
Petit beurre tablette choco,Bijou,unknown,unknown,510.0,39.0,24.0,15.0,0.5,2.4,6.3,e,4,unknown,1.0
Baguette Poitevin,Crous resto,unknown,unknown,207.0,0.6,6.7,3.8,0.4,1.7,8.9,unknown,4,unknown,1.0
Protein Drink Mix,Herbalife,unknown,unknown,387.0,0.9,8.2,1.1,2.6,1.3,53.0,not-applicable,4,unknown,27.0
Proteinbar with lemon flavour,Herbalife,Sugary snacks,Biscuits and cakes,398.0,30.0,12.0,6.7,0.23,0.0,28.0,not-applicable,4,unknown,2.0
Chocolat noir sésame complet,Kaoka,Sugary snacks,Chocolate products,591.0,26.0,45.0,25.0,0.01,11.0,10.0,e,3,c,1.0
Pois Chiches Bio,"Kazidomi, Nice",Cereals and potatoes,Legumes,72.0,0.0,1.3,0.1,0.05,4.5,4.3,a,1,a-plus,1.0
Haricots Rouges Bio,Kazidomi,Cereals and potatoes,Legumes,53.0,0.0,0.3,0.0,0.05,5.8,4.4,a,1,a,1.0
Lentilles Brunes Bio,Kazidomi,Composite foods,One-dish meals,54.0,0.0,0.3,0.0,0.08,4.0,4.0,a,3,a,1.0
Petits Pois Verts Bio,Kazidomi,Fruits and vegetables,Vegetables,72.0,0.0,0.3,0.0,0.05,4.1,4.8,a,1,a,1.0
Polvo para preparar bebidas,Herbalife,unknown,unknown,350.0,1.5,0.2,0.0,0.912,1.5,75.0,not-applicable,4,unknown,1.0
Le fromage fouetté Madame Loïc Nature au sel de guérande,Paysan breton,Salty snacks,Salty and fatty products,252.0,3.0,24.0,17.0,1.1,0.0,5.9,d,3,b,1.0
Suedois saumon,Crous,unknown,unknown,172.0,4.6,4.4,1.2,3.58,2.7,8.4,unknown,4,unknown,1.0
Chokodomi Pâte à Tartiner Chocolat Noisettes Bio,Kazidomi,Sugary snacks,Sweets,573.5,37.3,40.5,7.8,0.05,7.8,7.6,e,3,b,2.0
Chokodomi Pâte à Tartiner Chocolat Noisettes Bio,Kazidomi,Sugary snacks,Sweets,573.5,37.3,40.5,7.8,0.05,7.8,7.6,e,3,b,3.0
Boisson nutritionnelle banana creme,Herbalife,unknown,unknown,377.0,30.0,10.0,1.7,1.2,17.0,35.0,not-applicable,4,unknown,9.0
Formula 1 nutrional shake mix,HERBALIFE NUTRITION,Composite foods,One-dish meals,398.0,21.0,9.7,1.6,1.2,18.0,35.0,not-applicable,4,b,13.0
Boisson Nutritionnelle,Herbalife Nutrition,Beverages,Artificially sweetened beverages,398.0,23.0,9.7,1.6,1.2,18.0,35.0,not-applicable,4,d,2.0
boisson nutritionnelle Formula 1 Strawberry,Herbalife,Beverages,Artificially sweetened beverages,350.0,17.0,8.0,1.0,2.5,16.0,39.0,not-applicable,4,d,5.0
Formula 1 Mirtillo,Herbalife,unknown,unknown,390.0,23.0,10.0,1.7,1.2,17.0,35.0,not-applicable,4,unknown,9.0
Salade shaker taboulé,Crous,unknown,unknown,114.0,1.4,8.1,0.9,0.31,1.7,3.9,unknown,4,unknown,1.0
Organic tomato pulp,Kazidomi,Fruits and vegetables,Vegetables,32.0,4.5,0.1,0.0,0.0,2.2,1.4,a,1,a,1.0
Sauce Tomate Puttanesca Bio Kazidomi,Kazidomi,Fat and sauces,Dressings and sauces,75.0,3.8,5.2,0.8,0.2,1.7,1.5,a,3,a-plus,1.0
Sauce Tomate Au Thon & Olives Bio Kazidomi,Kazidomi,Fat and sauces,Dressings and sauces,64.0,3.8,3.7,1.0,0.7,2.0,2.5,a,3,a-plus,1.0
Sauce tomate aux légumes bio,Kazidomi,Fat and sauces,Dressings and sauces,62.0,4.0,3.9,1.0,0.01,2.0,1.4,a,3,a-plus,1.0
Passata de tomates bio,Kazidomi,Fat and sauces,Dressings and sauces,31.0,4.3,0.2,0.0,0.0,1.6,1.6,a,1,a-plus,1.0
pesto,Kazidomi,Fat and sauces,Dressings and sauces,561.0,0.5,53.2,9.6,2.7,1.3,8.2,e,3,b,1.0
Sandwich solene céréales sicilien,Crous,unknown,unknown,213.0,1.7,6.2,0.8,5.39,3.1,8.1,unknown,4,unknown,1.0
BAguette bressan,Crousresto',Cereals and potatoes,Bread,160.0,0.6,2.2,0.5,0.358,1.6,9.5,a,4,a,2.0
Pain de mie sans gluten,Genius,Cereals and potatoes,Bread,279.0,4.4,6.3,0.5,1.09,5.8,4.4,c,4,b,1.0
Tofu Fumé Bio,Kazidomi,Cereals and potatoes,Legumes,153.0,0.6,9.1,1.3,0.5,1.1,15.0,a,3,a-plus,1.0
Confiture Extra De Fraise Bio,Bioviver Conserverie,Sugary snacks,Sweets,166.0,40.0,0.0,0.0,0.18,1.0,0.0,d,4,a-plus,1.0
Chipolatas,Sovivo,Fish Meat Eggs,Processed meat,225.0,0.6,17.8,7.2,1.69,0.0,15.5,d,4,c,1.0
So vegan so fine,Brinkers,Sugary snacks,Sweets,562.0,51.0,36.0,5.9,0.01,3.5,2.8,e,4,unknown,1.0
Pépites de figue,Fruit gourmet,Fruits and vegetables,Dried fruits,333.0,66.0,0.7,0.1,0.33,8.0,2.1,d,4,d,1.0
Original ketchup,Curtice Brothers,Fat and sauces,Dressings and sauces,84.0,12.6,0.2,0.1,1.0,0.0,1.8,c,3,b,1.0
Salade fuilli poulet curry,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,One-dish meals,132.0,1.5,4.3,0.6,0.49,1.3,6.2,b,4,unknown,1.0
Persischer Reis,Bofrost,Composite foods,One-dish meals,142.0,3.9,3.6,0.4,0.86,2.0,2.4,c,4,a,1.0
Coleslaw,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,One-dish meals,155.0,8.2,12.5,0.9,0.8,2.5,1.1,c,4,a,1.0
Baguette Parisien,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,Sandwiches,224.0,1.8,3.6,2.2,0.00425,2.0,12.0,b,4,unknown,1.0
Baguette Lyonnais &quot;Petit prix&quot;,"Briau, Crous Languedoc Roussillon, Crous Resto'",Composite foods,Sandwiches,290.0,2.0,4.5,4.5,2.3,9.4,12.5,d,4,d,1.0
Suédois Poulet,"Crous Languedoc roussillon, Crous Resto'",Composite foods,Sandwiches,210.0,4.3,8.5,0.9,0.8,2.0,8.0,c,4,d,1.0
Curiously Strong Mints,Marks & Spencer,Sugary snacks,Sweets,398.0,96.0,0.5,0.5,0.0,0.1,0.9,e,4,c,3.0
Cookies Belgian chocolate chunk,Marks & Spencer,Sugary snacks,Biscuits and cakes,502.0,37.4,26.0,15.2,0.9,2.8,5.4,e,4,d,1.0
All Butter Sultana Cookies,Marks & Spencer,Sugary snacks,Biscuits and cakes,446.0,34.7,17.9,11.0,0.850000000000001,3.0,5.5,e,4,c,1.0
All Butter Belgian White Chocolate Chunk Cookies,Marks & Spencer,Sugary snacks,Biscuits and cakes,519.0,33.5,29.1,17.0,1.0,1.3,5.5,e,4,d,1.0
All Butter Fruity Flapjack Cookies,Marks & Spencer,Sugary snacks,Biscuits and cakes,451.0,36.5,20.5,13.3,0.779999999999999,4.2,5.1,e,4,c,3.0
Pistachio almond cookies,Marks&spencer,Sugary snacks,Biscuits and cakes,528.0,20.7,32.1,14.9,0.65,4.5,10.7,e,4,c,9.0
Cranberry & Orange Cookies,Marks & Spencer,Sugary snacks,Biscuits and cakes,430.0,41.2,15.2,8.6,0.75,2.7,4.4,e,4,c,1.0
Cookies Stem Ginger,Marks & Spencer,Sugary snacks,Biscuits and cakes,473.0,31.8,20.8,13.7,0.58,3.3,6.1,e,4,a,4.0
Cookies pépites chocolat et noisette,M&S,Sugary snacks,Biscuits and cakes,502.0,33.4,25.3,11.9,0.63,3.0,6.0,e,4,d,1.0
Belgian White Chocolate Chunk Cookies (Reduced Fat),Marks & Spencer,Sugary snacks,Biscuits and cakes,436.0,42.5,17.8,10.2,0.73,1.2,5.3,e,4,d,1.0
Smoothie Strawberry & Banana,"Marks & Spencer, Yesto",Beverages,Unsweetened beverages,57.0,10.6,0.3,0.3,0.03,0.7,0.9,d,1,c,8.0
Carottes râpées,"Crous Languedoc Roussillon, Crous Resto'",Fruits and vegetables,Vegetables,61.0,4.5,3.5,0.2,0.7,2.5,1.0,c,4,a,1.0
Passion fruit,M & S,Fruits and vegetables,Fruits,58.0,5.7,0.4,0.1,0.1,10.4,2.8,a,1,a,2.0
Salade végétarienne,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,One-dish meals,60.2,2.2,1.9,0.3,0.3,1.5,2.0,b,3,unknown,1.0
Wrap Saumon guacamole,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,Sandwiches,219.0,2.1,8.0,2.1,1.5,0.6,9.7,c,4,unknown,1.0
Salade Fusilli poulet tartare de légumes,"Crous Languedoc Roussillon,Crous Resto'",Composite foods,One-dish meals,99.2,1.1,2.3,0.4,0.5,1.7,5.6,a,4,c,1.0
Salade Fusilli pesto,"Crous, Crous Languedoc Roussillon, Crous Resto'",Composite foods,One-dish meals,155.0,0.8,7.6,1.8,0.3,1.8,4.6,b,4,unknown,1.0
Baguette le fermier,"Crous, Crous Languedoc Roussillon, Crous Resto'",Composite foods,Sandwiches,266.0,2.2,10.0,2.1,2.1,1.9,9.5,d,4,unknown,1.0
Club Turkey Bacon,Crous Languedoc Roussillon,Composite foods,Sandwiches,190.0,3.1,6.6,1.9,1.3,4.0,10.5,c,4,unknown,2.0
2 Pâtes feuilletées,12312,Cereals and potatoes,Cereals,404.0,0.7,24.0,12.3,0.94,1.3,5.7,e,3,d,2.0
Bagnat thon,Crous,Composite foods,Sandwiches,213.0,0.9,10.2,1.1,1.1,1.7,8.6,a,4,c,1.0
Bagel sésame 3 fromages,"Crous Languedoc Roussillon, Crous Resto'",Cereals and potatoes,Bread,305.0,3.5,14.3,8.5,1.7,1.3,13.6,e,4,a-plus,1.0
Salade fermière,Crous Languedoc Roussillon,Composite foods,One-dish meals,396.0,5.0,0.5,0.3,0.1975,0.1,80.0,c,4,unknown,1.0
Bircher style muesli,Marks & Spencer,Milk and dairy products,Milk and yogurt,178.0,14.5,8.2,4.0,0.13,2.3,4.6,c,3,a,19.0
Céleri rémoulade,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,One-dish meals,130.0,2.0,12.0,0.6,1.1,2.0,1.0,c,4,a,1.0
Le jurassien,Crous Languedoc Roussillon,Composite foods,Sandwiches,226.0,2.1,8.1,5.1,5.1,1.4,8.6,e,4,unknown,1.0
Salade cuite,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,One-dish meals,96.0,9.4,3.1,0.0,9.19999975,1.6,1.3,e,3,unknown,2.0
Baguette Niçois,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,Sandwiches,197.0,1.7,6.6,0.9,1.1,1.6,9.9,c,4,c,1.0
Salade Bergerac,Crous Languedoc Roussillon,Composite foods,One-dish meals,141.0,1.9,10.1,3.2,0.5,2.5,6.6,c,3,unknown,1.0
Betteraves rouges,Crous Resto',Fruits and vegetables,Vegetables,47.2,8.0,0.2,0.0,0.1,2.0,1.8,a,1,a,2.0
Ciabatta Rôti de porc BBQ,Crous Languedoc Roussillon,unknown,unknown,176.0,4.0,2.8,0.7,1.0,1.3,8.4,c,4,unknown,2.0
Ciabatta Rôti de porc moutarde,Crous Languedoc Roussillon,Composite foods,Sandwiches,227.0,0.7,9.3,1.2,1.0,1.6,9.2,c,4,unknown,1.0
Club Rosette,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,Sandwiches,268.0,2.9,13.8,5.6,2.7,4.5,11.2,e,4,d,2.0
Ciabatta Vietnamien,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,Sandwiches,156.0,2.2,1.7,0.3,1.0,1.4,8.1,b,4,unknown,1.0
Salade verte,"Crous Languedoc Roussillon, Crous Resto'",unknown,unknown,14.0,0.8,0.1,0.0,0.05,1.3,1.0,a,1,unknown,1.0
Suédois au thon,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,Sandwiches,168.0,4.1,4.2,1.5,0.57,1.8,9.5,c,4,unknown,1.0
Solène céréales poulet à l’italienne,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,Sandwiches,201.0,2.1,4.7,1.9,1.2,1.4,10.9,c,4,d,2.0
Bagnat Fraîcheur,"Crous Languedoc, Crous Resto'",unknown,unknown,178.0,3.6,4.5,1.4,0.7,2.4,4.6,c,4,unknown,1.0
Bagel Légume grillés,"Crous Languedoc Roussillon, Crous Resto'",Cereals and potatoes,Bread,204.0,4.2,6.3,2.7,0.93,2.5,8.1,b,4,a,5.0
Salade Crous Bowl,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,One-dish meals,107.0,5.1,5.2,0.7,0.4,2.3,2.3,b,4,unknown,1.0
sweet popcorn,Marks & Spencer,unknown,unknown,495.0,25.6,23.8,1.8,0.1,7.7,5.8,c,3,a,10.0
Ultimate Crumpets,M&S,unknown,unknown,168.0,2.5,0.7,0.1,1.35,3.0,5.5,c,4,unknown,49.0
4 HOT CROSS BUNS,Marks & Spencer,Sugary snacks,Biscuits and cakes,270.0,18.6,7.5,1.0,0.55,7.5,3.0,c,4,unknown,3.0
Melange Rando,Les Accents du Soleil,Fruits and vegetables,Dried fruits,307.4,23.48,11.970000267029,1.1100000143051,0.0425,9.89,6.960000038147,a,1,unknown,1.0
Graines de salade,Bonduelle,unknown,unknown,115.6,3.0,1.9,1.5,0.7,2.5,5.0,unknown,4,unknown,1.0
2 MINI BAGUETTES SANS GLUTEN,Nature & Cie,Cereals and potatoes,Bread,216.0,0.7,2.9,0.7,0.95,3.0,4.0,c,4,b,1.0
Cœur coulant au chocolat - au caramel-beurre salé,Bonne Maman,Sugary snacks,Biscuits and cakes,457.0,32.0,29.0,18.0,0.28,2.6,6.6,e,4,unknown,1.0
Acras de morue,Chaleur Creole,Salty snacks,Appetizers,325.0,1.5,4.0,1.1,4.3,4.6,19.3,e,4,f,1.0
Escalope soja et blé,Herta,unknown,unknown,247.0,2.4,12.0,1.3,1.3,5.5,16.0,b,3,unknown,1.0
Sauté de dinde sauce basquaise,Crous Resto',Composite foods,One-dish meals,110.0,1.1000000238419,2.7000000476837,0.40000000596046,0.23,1.0,6.9000000953674,a,3,e,1.0
Lasagnes à la bolognaise,Crous Languedoc Roussillon,Composite foods,One-dish meals,132.0,2.6,5.9,2.0,0.4,1.2,6.3,b,4,d,1.0
Orzo,Marks & Spencer,Cereals and potatoes,Cereals,353.0,1.9,1.4,0.3,0.1,3.0,12.2,a,1,unknown,7.0
Spaghetti à la bolognaise,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,One-dish meals,120.0,2.1,4.0,1.3,0.27,1.8,6.1,b,3,d,1.0
Crème de marrons de l’Ardèche,Clément faugier,unknown,unknown,270.0,50.2,0.8,0.2,0.01,1.9,1.3,d,4,b,3.0
Melting Mozzarella Sticks,M&S,Milk and dairy products,Cheese,308.0,1.5,16.6,6.5,1.26,1.2,14.4,c,4,d,8.0
Salted caramel & belgian milk,Marks And Spencer,unknown,unknown,462.0,36.9,21.0,9.3,0.5,1.5,5.0,unknown,4,unknown,1.0
All Butter Cookies,Marks & Spencer,Sugary snacks,Biscuits and cakes,501.0,30.2,26.1,14.3,0.63,3.2,6.9,e,4,d,1.0
Pâtes sauce crème émincés de dinde,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,One-dish meals,121.0,1.1,3.7,1.8,0.22,1.2,7.7,a,4,unknown,1.0
Dinky Melton Mowbray Pork Pies,Marks & Spencer,Composite foods,Pizza pies and quiches,404.0,1.8,27.0,10.0,1.05,1.7,13.2,e,4,unknown,10.0
Jambon rôti à griller,Larsigny,unknown,unknown,111.0,0.6,3.0,1.1,1.8,0.0,20.0,c,4,unknown,1.0
Paupiette de volaille sauce forestière brocolis purée,Marks & Spencer,Sugary snacks,Biscuits and cakes,105.0,0.9,6.7,1.5,0.55,2.0,5.7,b,4,e,1.0
Patates douces en morceaux,Auchan,Cereals and potatoes,Potatoes,72.0,5.6999998092651,0.0,0.0,0.07,2.5,1.3999999761581,b,1,not-applicable,1.0
Date & Walnut Toasts,M&S,unknown,unknown,390.0,17.6,10.0,1.3,1.2775,5.0,7.1,d,4,unknown,1.0
Biscuits Viennois au chocolat au lait,Marks & Spencer,Sugary snacks,Biscuits and cakes,526.0,29.6,29.6,19.3,0.519,3.7,5.93,e,4,c,2.0
Made without wheat abrico and cashew nut toasts,Marks & Spencer,Cereals and potatoes,Bread,398.0,16.2,10.4,1.7,1.33,4.2,8.4,d,4,a-plus,2.0
sweet Chilli crisps,Marks And Spencer,Salty snacks,Appetizers,496.0,2.9,26.2,3.2,1.0825,3.3,6.8,d,4,b,14.0
Iced Tea Spanish Peach,Marks & Spencer,Beverages,Sweetened beverages,31.0,7.6,0.1,0.1,0.03,0.1,0.2,d,3,c,2.0
"Jus pressé ananas, gingembre, pomme, citron",Marks & Spencdjdj,Beverages,Fruit juices,43.0,9.1,0.1,0.1,0.1,0.5,0.4,c,1,e,1.0
Fromage blanc aux myrtilles,"Crous Languedoc Roussillon, Crous Resto'",Milk and dairy products,Dairy desserts,64.9,5.3,2.3,1.4,0.1,0.8,5.6,a,3,a,1.0
English Muffins,Marks & Spencer,Cereals and potatoes,Bread,235.0,4.15,1.38,0.154,1.42,3.23,7.85,c,4,b,24.0
Cheesecake,"Crous Languedoc Roussillon, Crous Resto'",Sugary snacks,Biscuits and cakes,339.0,20.4,23.2,13.3,0.6,0.3,5.0,e,4,c,1.0
Fromage blanc à la pêche,"Crous Languedoc Roussillon, Crous Resto'",Milk and dairy products,Dairy desserts,76.9,8.9,2.1,1.3,0.1,0.7,4.9,b,4,a,1.0
Ananas au sirop,"Crous Languedoc Roussillon, Crous Resto'",Fruits and vegetables,Fruits,56.0,13.0,0.0,0.0,0.0,0.7,0.0,b,3,unknown,1.0
Compote de pomme,Crous Languedoc Roussillon,Fruits and vegetables,Fruits,63.0,13.0,0.1,0.1,0.3,1.8,0.3,a,4,a,1.0
Tarte chocolat,"Crous Languedoc Roussillon, Crous Resto'",Composite foods,Pizza pies and quiches,361.0,24.0,20.0,12.0,0.13,1.9,5.5,e,4,d,1.0
Tarte noix de coco,Crous Languedoc Roussillon,Composite foods,Pizza pies and quiches,364.0,23.0,23.0,14.0,0.15,3.8,4.3,e,4,unknown,1.0
Compote de pomme banane,Crous Languedoc Roussillon,Fruits and vegetables,Fruits,77.0,12.3,0.5,0.2,0.01,1.8,0.4,a,4,a,1.0
Mousse au chocolat,"Crous,Crous Languedoc Roussillon,Crous Resto'",Milk and dairy products,Dairy desserts,169.0,21.6,5.6,4.5,0.1,2.6,5.8,d,4,e,1.0
Victoria plum and bergamot yogurt,M&S,Milk and dairy products,Milk and yogurt,126.0,13.7,6.7,4.6,0.08,0.5,2.8,c,4,b,3.0
THẠCH RAU CÂU HƯƠNG TRÁI CÂY TỔNG HỎ - ASSORT FAVOR MINI FRUITY GELS,New Choice,Sugary snacks,Sweets,120.0,23.0,0.0,0.0,0.05,1.0,0.0,c,4,b,1.0
Fromage blanc aux framboises,"Crous Languedoc Roussillon, Crous Resto'",Milk and dairy products,Dairy desserts,63.9,4.5,2.4,1.4,0.1,1.7,5.7,a,1,a,1.0
CHOCOLATE ALMOND BISCOTTI Dipping cookies,Trader Joe's,Sugary snacks,Biscuits and cakes,392.857142857143,35.7142857142857,12.5,3.57142857142857,0.535714285714285,3.57142857142857,7.14285714285715,d,4,c,2.0
6 Olde english farmhouse pork sausages,M&S,Fish Meat Eggs,Processed meat,287.0,0.9,24.3,9.1,1.0125,1.3,13.6,d,4,unknown,3.0
Pure Whey Protein Berries & Cream,Bulk Powders,unknown,unknown,417.0,8.7,7.5,5.0,0.371,0.4,76.3,not-applicable,4,unknown,1.0
Pure Whey Protein™ Chocolate Peanut,Bulk Powders,unknown,unknown,417.0,10.0,7.5,5.0,0.351,0.4,75.0,not-applicable,4,unknown,1.0
"Salade à la Mexicaine au Maïs doux, Poivrons, Riz et Avocat",Marks & Spencer,Composite foods,One-dish meals,140.0,3.2,5.2,0.7,0.55,2.8,3.1,b,3,unknown,2.0
Sweet & smoky mini fillets,Marks and Spencer,Fish Meat Eggs,Meat,117.0,2.4,0.4,0.1,0.93,0.1,25.5,a,3,e,1.0
Cantina tortillas,M&S,Salty snacks,Appetizers,466.0,3.5,20.3,1.9,1.2,10.5,7.2,c,3,a,28.0
After Dinner,M&S,unknown,unknown,531.0,59.3,28.5,17.4,0.18,3.6,3.5,unknown,4,unknown,3.0
